Company,URL
Calendly,https://calendly.com/taf-team/avx?utm_source=tofu&utm_medium=website&utm_campaign=portfolio-page
Invest in Startups Like the Apex 50,https://calendly.com/taf-team/avx?utm_source=tofu&utm_medium=website&utm_content=blog&utm_campaign=portoflio-page
Bluesky,https://bsky.app/
Groq,https://groq.com/
Goodles,https://www.goodles.com/
2022 Pitchbook Global League Tables,https://pitchbook.com/news/articles/global-league-tables-2022-annual
2023 Pitchbook Global League Tables,https://pitchbook.com/news/articles/global-league-tables-2023-annual
The Top 20 venture investors in North America,https://www.cbinsights.com/research/report/top-investors-north-america/
Mystenlabs,https://mystenlabs.com
Sondermind,http://www.sondermind.com
Ouraring,http://ouraring.com
Ghostrobotics,http://ghostrobotics.io
Wasabi,https://wasabi.com
Yassir,http://yassir.io
Gatik,http://gatik.ai
Axiomspace,http://axiomspace.com
Cohere,https://cohere.com/
Lambdalabs,https://lambdalabs.com/
Sleeper,http://sleeper.app
Performance,https://3925488.fs1.hubspotusercontent-na1.net/hubfs/3925488/_SoT_Mirror/01_Policies_and_Products/AV_Loyalty_Rewards_Performance_and_Fees.pdf
Tech Optimist,https://techoptimist.vc/
AV Careers,https://alumniventures.hrmdirect.com/employment/job-openings.php?search=true&
TikTok,https://www.tiktok.com/@alumniventures
Threads,https://www.threads.net/@alumniventures
here,https://av-funds.com/disclosures
